,frequency_segment,monetary_segment,recency_segment,client_id
111,1,4,1,10300_id
112,1,3,2,16341_id
113,1,4,1,11865_id
114,1,4,2,9919_id
115,1,4,1,798_id
116,2,1,3,19081_id
117,1,4,1,758_id
118,1,4,1,6955_id
119,1,4,2,14093_id
120,2,2,3,17584_id
121,1,3,2,11945_id
122,1,4,2,13532_id
123,1,4,1,7355_id
124,1,4,1,7997_id
125,1,4,1,6894_id
126,1,3,2,12076_id
127,1,4,2,9632_id
128,1,4,1,6278_id
129,1,4,1,4252_id
130,1,4,1,8104_id
131,1,4,1,4695_id
132,1,4,2,12573_id
133,1,4,1,5070_id
134,1,4,1,7406_id
135,2,3,2,17910_id
136,1,4,1,2904_id
137,1,4,1,7945_id
138,1,4,1,4428_id
139,1,3,2,12189_id
140,1,4,2,9049_id
141,1,4,1,7387_id
142,1,4,1,911_id
143,2,3,2,17580_id
144,1,4,1,12092_id
145,1,4,1,137_id
146,4,1,3,19191_id
147,1,4,1,8228_id
148,1,4,2,12275_id
149,1,4,1,7162_id
150,1,4,1,4248_id
151,1,4,2,10086_id
152,1,4,1,3004_id
153,1,4,1,9610_id
154,1,4,1,5213_id
155,1,4,1,4554_id
156,1,4,1,7580_id
157,2,2,3,18782_id
158,1,4,1,10666_id
159,1,4,2,9143_id
160,1,4,1,8135_id
161,1,4,2,11382_id
162,1,3,2,17297_id
163,1,4,1,8757_id
164,2,3,2,17550_id
165,2,2,3,18370_id
166,1,4,1,8082_id
167,1,4,1,5246_id
168,1,4,1,2782_id
169,1,4,2,9615_id
170,1,4,1,8753_id
171,1,4,1,4758_id
172,3,2,2,18541_id
173,1,4,1,2079_id
174,1,4,1,4967_id
175,3,2,3,19222_id
176,1,4,2,9526_id
177,1,3,2,13376_id
178,1,4,1,6159_id
179,1,4,1,5874_id
180,1,4,2,10105_id
181,1,3,2,14268_id
182,1,4,1,4257_id
183,1,4,1,10077_id
184,2,2,3,18627_id
185,1,3,2,15414_id
186,1,4,1,1983_id
187,1,3,2,16741_id
188,1,3,2,17460_id
189,1,4,1,8122_id
190,2,3,2,17649_id
191,1,4,2,11070_id
192,1,4,1,9442_id
193,1,4,1,1230_id
194,1,4,1,7520_id
195,1,4,1,10539_id
196,1,4,2,13252_id
197,1,4,1,4782_id
198,1,4,1,8646_id
199,1,3,2,12293_id
200,1,4,1,2578_id
201,1,2,2,17243_id
202,1,4,1,5691_id
203,1,4,1,3735_id
204,1,4,2,13956_id
205,1,4,1,160_id
206,1,4,1,2745_id
207,1,3,2,15378_id
208,1,2,2,16526_id
209,1,4,2,10337_id
210,2,2,2,17744_id
211,1,4,1,5253_id
212,1,4,2,11228_id
213,1,3,2,13270_id
214,1,3,2,15709_id
215,1,3,2,13968_id
216,2,2,3,17630_id
217,1,4,1,6429_id
218,1,4,1,5451_id
219,1,4,1,1840_id
220,1,4,1,3130_id
221,1,4,1,2871_id
222,1,4,1,2197_id
223,1,4,2,13429_id
224,1,4,1,1954_id
225,1,4,1,8699_id
226,1,4,2,10128_id
227,1,4,1,1376_id
228,1,4,1,1533_id
229,1,4,1,5985_id
230,1,4,1,1615_id
231,1,3,2,14361_id
232,1,3,2,16089_id
233,1,4,1,11594_id
234,1,3,2,16119_id
235,1,4,1,664_id
236,1,4,1,4627_id
237,1,4,1,717_id
238,1,4,1,5794_id
239,1,4,1,6883_id
240,1,4,1,1930_id
241,1,4,1,426_id
242,1,4,1,1372_id
243,1,4,2,9908_id
244,1,3,2,14011_id
245,1,4,1,6069_id
246,1,4,1,3582_id
247,1,3,2,16134_id
248,1,4,2,10838_id
249,1,4,1,222_id
250,1,4,2,11456_id
251,1,3,2,13973_id
252,1,4,1,6678_id
253,1,3,2,16637_id
254,1,4,1,8905_id
255,1,4,1,3264_id
256,1,3,2,13441_id
257,1,4,1,8797_id
258,1,3,2,13518_id
259,1,3,2,16708_id
260,1,4,1,3872_id
261,1,4,2,9047_id
262,1,4,1,7898_id
263,1,4,1,471_id
264,1,4,1,4454_id
265,1,4,1,409_id
266,1,4,1,2397_id
267,1,4,1,3097_id
268,1,3,2,14859_id
269,1,4,1,9455_id
270,1,4,1,1939_id
271,1,4,1,2843_id
272,1,4,1,5271_id
273,1,4,2,13846_id
274,1,4,1,2415_id
275,1,4,1,7193_id
276,2,2,2,18257_id
277,1,4,1,9402_id
278,1,4,1,5190_id
279,1,3,2,15397_id
280,1,4,1,6201_id
281,1,3,2,13027_id
282,2,2,2,17788_id
283,1,4,2,10543_id
284,1,4,1,2405_id
285,1,4,1,7172_id
286,1,3,2,13849_id
287,1,4,1,4038_id
288,1,4,1,6628_id
289,1,4,1,1258_id
290,1,4,1,2328_id
291,1,4,1,8241_id
292,1,4,1,4271_id
293,1,4,1,3558_id
294,1,3,2,15061_id
295,1,2,2,17315_id
296,1,4,1,4653_id
297,1,4,1,6915_id
298,1,2,2,16715_id
299,1,2,2,16973_id
300,2,2,2,18133_id
301,1,3,2,17440_id
302,1,4,1,6105_id
303,1,4,1,931_id
304,1,4,1,10112_id
305,1,4,1,394_id
306,1,4,1,5758_id
307,1,4,1,1422_id
308,1,4,1,2847_id
309,1,3,2,14625_id
310,1,4,1,3012_id
311,1,4,1,2087_id
312,1,4,1,2882_id
313,1,4,1,8939_id
314,1,4,1,3116_id
315,1,4,1,1757_id
316,1,4,1,4579_id
317,1,3,2,16190_id
318,1,4,1,3398_id
319,1,4,1,6553_id
320,1,4,2,10347_id
321,1,3,2,13256_id
322,1,4,1,6098_id
323,1,4,1,5039_id
324,1,3,2,14305_id
325,1,4,1,3306_id
326,1,4,1,7800_id
327,1,2,2,17146_id
328,1,3,2,12261_id
329,1,4,1,10380_id
330,2,2,2,18312_id
331,1,4,1,1281_id
332,3,2,3,18883_id
333,1,4,1,7843_id
334,1,4,1,219_id
335,1,4,1,7667_id
336,2,2,2,18285_id
337,1,4,1,5566_id
338,1,4,1,3027_id
339,1,4,1,3899_id
340,1,3,2,13895_id
341,2,2,2,17968_id
342,1,4,1,10888_id
343,1,4,1,6803_id
344,3,2,3,18629_id
345,1,3,2,15555_id
346,1,4,1,6043_id
347,1,4,1,1676_id
348,1,4,1,1469_id
349,1,4,1,9188_id
350,1,4,2,9769_id
351,1,4,1,7790_id
352,1,4,1,8250_id
353,1,2,2,17213_id
354,1,2,2,16836_id
355,1,4,1,981_id
356,1,4,1,1642_id
357,1,4,2,11002_id
358,1,4,1,6242_id
359,1,3,2,15672_id
360,1,4,2,13777_id
361,1,4,1,6332_id
362,1,4,1,1243_id
363,1,4,1,688_id
364,1,4,1,7806_id
365,1,4,1,2906_id
366,1,3,2,15164_id
367,1,4,1,9737_id
368,1,4,1,8908_id
369,2,2,2,18530_id
370,1,4,1,8387_id
371,1,4,1,2470_id
372,1,4,1,9071_id
373,1,4,1,359_id
374,3,1,3,19635_id
375,1,4,2,10912_id
376,1,4,1,9869_id
377,1,4,1,1104_id
378,1,4,1,6371_id
379,1,4,1,2775_id
380,1,4,1,8481_id
381,1,4,1,5311_id
382,1,4,1,12240_id
383,1,3,2,15251_id
384,1,4,1,3205_id
385,2,2,2,17660_id
386,1,4,1,6965_id
387,1,4,1,4176_id
388,1,4,1,4295_id
389,1,4,1,5166_id
390,1,4,2,10635_id
391,1,3,2,17918_id
392,1,4,1,10796_id
393,1,3,2,15243_id
394,1,2,2,16938_id
395,1,4,1,274_id
396,1,4,1,8159_id
397,1,3,2,14835_id
398,1,4,1,1719_id
399,1,4,1,815_id
400,1,4,1,1295_id
401,1,4,2,11248_id
402,4,1,4,19801_id
403,2,2,2,17667_id
404,1,4,1,11493_id
405,4,1,4,19909_id
406,1,4,2,9654_id
407,1,4,1,2476_id
408,1,4,1,8327_id
409,2,3,3,17991_id
410,1,4,2,10168_id
411,1,4,1,4244_id
412,1,4,2,12040_id
413,1,4,1,535_id
414,1,4,1,1176_id
415,1,4,1,8849_id
416,1,4,1,8676_id
417,1,4,1,1545_id
418,1,4,2,10034_id
419,1,4,1,6443_id
420,1,4,2,9297_id
421,1,4,1,2175_id
422,1,4,1,12313_id
423,3,1,3,19072_id
424,1,4,2,13852_id
425,1,3,1,11695_id
426,1,4,1,5389_id
427,1,4,2,9729_id
428,1,4,2,13847_id
429,1,4,1,8489_id
430,1,2,2,16408_id
431,1,3,2,13522_id
432,1,4,1,2713_id
433,1,4,1,4976_id
434,1,3,2,12862_id
435,1,4,1,9419_id
436,1,4,1,1171_id
437,1,3,2,12756_id
438,1,4,1,3609_id
439,1,4,2,13698_id
440,1,4,1,7455_id
441,1,4,1,120_id
442,1,4,1,6008_id
443,1,4,1,5441_id
444,4,1,3,19646_id
445,1,4,1,3368_id
446,1,4,1,5818_id
447,1,4,1,5221_id
448,1,3,2,15095_id
449,1,4,1,7614_id
450,1,4,1,3156_id
451,1,2,2,16952_id
452,1,3,2,13492_id
453,1,4,1,8506_id
454,1,4,2,9160_id
455,1,4,1,1051_id
456,1,4,1,7428_id
457,1,3,2,14134_id
458,1,4,1,11990_id
459,1,3,2,14975_id
460,1,4,1,3367_id
461,4,1,3,19568_id
462,1,3,2,16105_id
463,1,3,2,14613_id
464,1,4,1,5757_id
465,1,4,1,3863_id
466,1,4,1,4875_id
467,1,4,2,9130_id
468,1,4,1,6891_id
469,1,4,1,3616_id
470,1,4,1,4810_id
471,1,4,1,10906_id
472,1,2,2,17116_id
473,1,4,1,4799_id
474,1,4,1,6030_id
475,1,2,2,17491_id
476,1,4,1,6165_id
477,1,4,1,5943_id
478,1,3,2,12907_id
479,1,4,1,4777_id
480,2,2,3,18609_id
481,1,4,1,3405_id
482,1,4,2,9259_id
483,1,4,1,465_id
484,1,4,1,9860_id
485,1,3,2,14007_id
486,1,4,1,249_id
487,1,4,2,10893_id
488,1,4,1,577_id
489,1,4,2,11054_id
490,1,4,1,517_id
491,1,2,2,16225_id
492,1,4,1,851_id
493,3,2,3,18586_id
494,3,1,3,19354_id
495,1,4,1,9149_id
496,4,1,3,19491_id
497,1,4,1,5873_id
498,1,4,1,2269_id
499,1,4,1,7692_id
500,1,4,1,6753_id
501,1,3,2,17172_id
502,1,4,1,7648_id
503,1,3,2,16223_id
504,1,4,1,2256_id
505,1,4,1,8470_id
506,1,4,1,518_id
507,3,2,3,18872_id
508,1,4,1,3093_id
509,1,4,1,2681_id
510,1,4,1,159_id
511,1,4,1,8710_id
512,1,4,1,490_id
513,1,4,1,7156_id
514,1,3,2,13258_id
515,2,2,2,17938_id
516,1,4,2,11139_id
517,1,3,2,15205_id
518,1,4,1,11009_id
519,1,3,2,15212_id
520,1,4,1,1890_id
521,1,4,1,7740_id
522,1,4,1,4070_id
523,1,4,2,10443_id
524,2,2,2,17789_id
525,1,3,2,15375_id
526,4,1,3,19208_id
527,1,3,2,13940_id
528,1,4,1,2740_id
529,1,4,1,3580_id
530,1,4,1,3218_id
531,1,3,2,13333_id
532,1,4,1,9857_id
533,1,4,2,9666_id
534,4,1,4,19750_id
535,1,3,2,13871_id
536,1,4,1,4535_id
537,1,4,1,1468_id
538,1,4,1,5466_id
539,1,4,1,9234_id
540,1,4,1,5871_id
541,1,4,2,10271_id
542,1,3,2,15664_id
543,1,3,2,13044_id
544,2,3,3,17553_id
545,1,4,1,5482_id
546,1,4,1,7547_id
547,1,4,1,2344_id
548,1,3,2,17057_id
549,1,4,1,6187_id
550,1,4,1,5193_id
551,1,4,2,13516_id
552,1,4,1,5809_id
553,1,3,2,13535_id
554,1,4,1,1534_id
555,1,4,1,7491_id
556,1,4,2,9331_id
557,2,2,2,17551_id
558,1,3,2,15339_id
559,1,4,1,8742_id
560,1,3,1,12202_id
561,1,4,1,6743_id
562,1,4,2,9444_id
563,2,2,3,18153_id
564,1,4,1,1222_id
565,2,2,3,18283_id
566,1,4,1,4839_id
567,1,4,1,1598_id
568,3,1,3,19631_id
569,1,4,1,2025_id
570,1,4,1,8474_id
571,1,4,1,4995_id
572,1,4,1,11520_id
573,1,4,1,2417_id
574,1,4,1,8889_id
575,1,4,1,5432_id
576,1,3,2,17469_id
577,2,2,2,18060_id
578,1,2,2,16687_id
579,1,3,2,12424_id
580,1,4,1,7934_id
581,1,3,2,17311_id
582,1,4,2,9943_id
583,1,4,1,2300_id
584,1,4,1,35_id
585,1,4,1,5349_id
586,1,4,1,4598_id
587,1,4,1,6473_id
588,1,3,2,15447_id
589,1,4,1,5058_id
590,1,4,1,6333_id
591,1,4,1,4306_id
592,1,4,1,2067_id
593,1,2,2,16265_id
594,1,3,2,17181_id
595,1,4,1,11117_id
596,1,4,1,7205_id
597,1,3,2,14539_id
598,1,3,2,15440_id
599,1,4,1,7371_id
600,1,3,2,14010_id
601,1,4,1,4968_id
602,1,4,1,4009_id
603,1,4,1,1835_id
604,1,4,1,1826_id
605,1,4,1,4779_id
606,1,4,1,5579_id
607,1,3,1,11774_id
608,1,4,1,4451_id
609,1,4,2,13731_id
610,1,3,2,14797_id
611,1,4,2,13779_id
612,4,1,4,19876_id
613,1,4,2,9249_id
614,1,4,1,216_id
615,1,3,2,12379_id
616,1,3,2,14810_id
617,1,4,1,136_id
618,1,4,1,8544_id
619,1,4,1,7825_id
620,1,4,2,11878_id
621,1,4,2,10197_id
622,1,3,2,16450_id
623,1,4,1,9651_id
624,1,4,1,5011_id
625,1,4,1,1236_id
626,1,4,2,9882_id
627,4,1,3,19203_id
628,1,3,2,15008_id
629,2,2,2,17618_id
630,1,4,1,3550_id
631,1,4,1,2034_id
632,1,4,1,7777_id
633,1,4,1,7025_id
634,1,4,1,3536_id
635,1,3,2,13255_id
636,1,3,2,17466_id
637,1,4,2,9768_id
638,1,4,1,5446_id
639,1,4,1,4140_id
640,1,2,2,17695_id
641,1,3,2,14862_id
642,1,4,2,10426_id
643,1,4,1,3421_id
644,1,3,2,12779_id
645,1,3,2,11619_id
646,1,4,1,10134_id
647,1,4,1,5726_id
648,1,4,1,9760_id
649,1,4,2,13179_id
650,1,3,2,13439_id
651,1,4,2,12839_id
652,1,4,1,9730_id
653,1,4,1,7114_id
654,1,3,2,15459_id
655,1,4,2,11447_id
656,1,4,1,2698_id
657,1,4,2,10066_id
658,1,4,1,6270_id
659,1,4,1,2271_id
660,1,4,1,2838_id
661,1,3,2,15200_id
662,1,4,1,4880_id
663,1,4,1,6572_id
664,1,4,1,4364_id
665,1,4,1,3427_id
666,1,4,1,12031_id
667,1,4,1,9553_id
668,1,4,1,8095_id
669,1,4,2,10608_id
670,1,3,2,16189_id
671,2,2,2,18216_id
672,1,4,1,10814_id
673,1,4,2,10869_id
674,2,2,2,18192_id
675,1,4,2,9779_id
676,1,4,1,5491_id
677,1,4,1,1586_id
678,1,4,1,764_id
679,1,4,1,2905_id
680,1,4,1,2875_id
681,1,4,1,8399_id
682,1,3,2,16147_id
683,1,4,1,6285_id
684,1,4,1,1941_id
685,1,4,1,2768_id
686,2,2,3,18964_id
687,1,4,1,1377_id
688,1,3,2,16247_id
689,1,4,1,6987_id
690,1,4,1,2151_id
691,4,1,4,19698_id
692,3,2,3,18784_id
693,1,3,2,13916_id
694,1,3,2,14932_id
695,1,4,1,2509_id
696,1,4,1,5744_id
697,1,3,2,12177_id
698,1,4,1,2697_id
699,1,4,1,7535_id
700,1,4,1,8615_id
701,4,1,4,19791_id
702,1,4,1,959_id
703,1,3,2,17409_id
704,1,4,1,1010_id
705,1,2,2,17159_id
706,4,2,3,19159_id
707,4,1,3,19586_id
708,1,4,1,8989_id
709,1,4,1,10360_id
710,1,4,2,12366_id
711,1,3,2,14366_id
712,4,1,3,19408_id
713,1,3,2,15471_id
714,1,3,2,15620_id
715,1,4,1,3474_id
716,1,4,1,3877_id
717,1,3,2,12557_id
718,1,4,1,7498_id
719,1,4,1,6241_id
720,1,4,1,5962_id
721,1,4,1,7378_id
722,1,3,2,14340_id
723,1,4,1,8718_id
724,3,1,3,19231_id
725,1,4,1,834_id
726,1,4,2,9128_id
727,1,4,1,6237_id
728,3,2,3,18843_id
729,1,3,2,17076_id
730,1,4,1,8422_id
731,1,4,1,9141_id
732,1,4,2,10167_id
733,1,4,2,10291_id
734,2,2,2,17643_id
735,1,4,1,4157_id
736,1,4,1,4409_id
737,1,4,1,6980_id
738,1,4,1,188_id
739,1,4,1,6952_id
740,1,4,1,70_id
741,1,4,1,2718_id
742,1,4,2,10292_id
743,1,4,1,7840_id
744,1,4,1,4226_id
745,1,4,1,4101_id
746,1,4,1,1206_id
747,1,3,2,12527_id
748,1,4,1,1262_id
749,1,3,2,15111_id
750,2,2,3,18432_id
751,1,4,1,4229_id
752,1,4,1,5832_id
753,1,4,1,5948_id
754,1,4,1,3174_id
755,1,4,1,7859_id
756,1,4,2,12461_id
757,1,4,1,6946_id
758,2,3,2,17806_id
759,1,4,1,10489_id
760,1,3,2,15630_id
761,1,4,1,6389_id
762,1,4,1,5325_id
763,1,4,1,8771_id
764,1,4,1,8068_id
765,2,2,3,18598_id
766,1,4,1,8645_id
767,1,4,1,8185_id
768,1,4,2,12611_id
769,1,4,2,13462_id
770,1,4,1,8702_id
771,1,4,1,7291_id
772,1,4,1,4954_id
773,1,4,1,4675_id
774,1,4,2,14094_id
775,1,3,1,11846_id
776,2,2,2,17984_id
777,1,4,1,11501_id
778,1,4,1,1443_id
779,1,4,1,5016_id
780,3,2,3,18764_id
781,1,4,1,7702_id
782,1,4,2,9708_id
783,1,4,2,12534_id
784,1,4,1,7331_id
785,1,4,1,4870_id
786,1,3,2,13798_id
787,3,1,3,19049_id
788,1,4,1,10509_id
789,1,4,2,9877_id
790,1,4,1,4639_id
791,1,4,1,5242_id
792,1,4,1,2407_id
793,1,3,2,11973_id
794,2,2,2,18223_id
795,1,3,2,15691_id
796,1,3,2,11972_id
797,1,4,1,8668_id
798,1,4,1,3487_id
799,4,1,3,19614_id
800,1,3,2,16037_id
801,1,4,1,8240_id
802,1,3,1,11725_id
803,4,1,3,19171_id
804,1,4,1,1865_id
805,1,4,1,8091_id
806,1,4,1,3005_id
807,1,4,1,7343_id
808,1,4,1,7786_id
809,1,3,2,12876_id
810,1,4,1,6688_id
811,1,3,2,14263_id
812,1,4,1,2586_id
813,4,1,3,19617_id
814,1,4,2,11529_id
815,1,4,1,4647_id
816,1,4,1,489_id
817,1,4,1,7429_id
818,1,4,1,4100_id
819,1,3,2,15004_id
820,1,3,2,14478_id
821,2,2,2,18456_id
822,1,4,1,1854_id
823,1,3,2,12813_id
824,1,4,1,8281_id
825,1,3,2,14951_id
826,1,4,2,13065_id
827,1,3,2,12901_id
828,1,4,1,11391_id
829,1,4,1,6997_id
830,1,4,1,7759_id
831,1,3,2,12877_id
832,1,3,1,11950_id
833,1,4,1,7562_id
834,1,2,2,16996_id
835,1,4,1,2747_id
836,1,4,1,7028_id
837,1,4,1,2721_id
838,1,4,1,1224_id
839,1,4,1,7313_id
840,1,4,1,92_id
841,4,1,3,19517_id
842,3,2,3,18655_id
843,1,4,1,11437_id
844,1,2,2,17240_id
845,1,2,2,16858_id
846,1,4,1,4542_id
847,1,4,1,4743_id
848,1,4,1,5682_id
849,1,4,1,9190_id
850,1,4,1,587_id
851,1,3,2,16840_id
852,1,4,1,3008_id
853,1,4,1,10793_id
854,1,3,2,14945_id
855,3,2,3,18902_id
856,1,4,2,10784_id
857,1,4,1,8539_id
858,1,4,2,12776_id
859,1,4,1,2511_id
860,4,1,3,19393_id
861,1,4,1,1944_id
862,1,2,2,16415_id
863,1,4,1,637_id
864,1,3,2,14204_id
865,1,3,2,14794_id
866,1,4,1,7127_id
867,1,4,1,716_id
868,1,4,1,5149_id
869,1,4,2,10580_id
870,1,4,1,1058_id
871,1,4,1,8260_id
872,1,4,1,8100_id
873,1,4,1,1356_id
874,1,4,1,9671_id
875,1,3,2,16013_id
876,1,4,1,8148_id
877,1,4,1,6775_id
878,1,4,2,10684_id
879,1,4,1,10241_id
880,3,1,3,19246_id
881,1,4,1,2242_id
882,1,2,2,16878_id
883,1,4,1,7401_id
884,1,3,2,11610_id
885,1,4,2,11937_id
886,1,4,1,8179_id
887,1,4,1,2351_id
888,1,4,1,156_id
889,1,3,2,13677_id
890,1,4,2,9075_id
891,1,4,1,8002_id
892,1,3,2,13303_id
893,2,2,2,18471_id
894,1,4,1,832_id
895,1,3,2,12716_id
896,1,4,2,13259_id
897,1,4,1,6661_id
898,1,4,1,6573_id
899,1,4,1,3978_id
900,3,2,3,18625_id
901,1,4,2,11042_id
902,1,3,2,15642_id
903,1,4,1,4219_id
904,3,1,3,19300_id
905,1,4,2,10648_id
906,1,4,1,10410_id
907,1,4,1,6603_id
908,1,4,1,4524_id
909,1,4,1,2124_id
910,1,4,1,436_id
911,1,4,1,6018_id
912,1,4,1,9227_id
913,1,4,1,4260_id
914,1,4,2,10837_id
915,1,3,2,15840_id
916,2,2,3,18657_id
917,1,4,1,1908_id
918,1,4,1,3809_id
919,1,4,1,293_id
920,1,4,1,3395_id
921,1,4,1,5235_id
922,1,4,1,1024_id
923,1,3,2,16590_id
924,1,4,2,10503_id
925,1,2,2,17182_id
926,2,2,3,18417_id
927,1,4,1,1567_id
928,1,4,2,10530_id
929,1,2,2,17305_id
930,1,4,1,2393_id
931,1,4,1,5664_id
932,1,2,2,16502_id
933,1,4,1,6695_id
934,1,4,1,8492_id
935,1,4,1,5522_id
936,1,4,1,2677_id
937,1,4,1,2343_id
938,1,2,2,17054_id
939,1,4,1,1565_id
940,1,4,1,3449_id
941,1,4,1,7261_id
942,1,4,2,10013_id
943,2,3,2,17547_id
944,1,4,1,4268_id
945,1,4,1,6234_id
946,1,3,2,14051_id
947,1,2,2,16824_id
948,1,4,1,3073_id
949,1,4,2,14136_id
950,1,4,1,1821_id
951,1,4,1,10983_id
952,1,4,1,4507_id
953,1,4,1,26_id
954,1,4,1,6138_id
955,1,3,2,16473_id
956,1,2,2,16587_id
957,1,4,1,4868_id
958,1,4,1,4211_id
959,1,4,1,504_id
960,1,4,1,8476_id
961,1,4,1,4817_id
962,1,2,2,16512_id
963,1,3,2,16085_id
964,1,4,2,10220_id
965,1,4,1,1106_id
966,1,4,2,9482_id
967,1,3,2,15700_id
968,1,4,1,1566_id
969,1,4,1,8971_id
970,1,4,1,5187_id
971,2,2,3,18431_id
972,1,3,2,14959_id
973,1,4,1,3526_id
974,1,4,2,10373_id
975,1,4,1,1848_id
976,1,2,2,17321_id
977,1,3,2,12367_id
978,1,4,1,8347_id
979,1,4,1,8010_id
980,1,4,1,10252_id
981,1,3,2,15941_id
982,1,4,1,11478_id
983,1,4,1,6044_id
984,1,2,2,16543_id
985,1,4,1,50_id
986,1,4,2,13868_id
987,1,2,2,17239_id
988,1,2,2,17137_id
989,1,4,1,7665_id
990,1,3,2,14186_id
991,1,3,2,12979_id
992,1,4,2,9327_id
993,1,4,2,13817_id
994,1,4,1,4333_id
995,2,3,2,17858_id
996,1,4,1,6319_id
997,1,4,1,9492_id
998,1,4,1,461_id
999,1,4,2,12960_id
1000,1,4,1,9322_id
1001,1,4,1,2272_id
1002,1,4,1,4979_id
1003,1,3,2,15443_id
1004,1,3,2,12418_id
1005,1,4,1,10334_id
1006,1,4,1,4642_id
1007,1,4,1,5228_id
1008,1,4,2,13873_id
1009,1,4,1,8744_id
1010,1,4,1,4823_id
1011,1,4,1,877_id
1012,1,4,1,2249_id
1013,1,4,1,8769_id
1014,1,4,1,8087_id
1015,1,4,1,2201_id
1016,1,4,1,6233_id
1017,1,4,2,12905_id
1018,1,3,2,14759_id
1019,1,4,1,19_id
1020,1,4,1,4076_id
1021,1,4,1,2385_id
1022,1,3,2,15485_id
1023,1,4,2,13933_id
1024,1,4,1,8516_id
1025,1,4,1,6054_id
1026,1,3,2,16916_id
1027,1,4,1,3594_id
1028,1,4,1,312_id
1029,3,1,3,19176_id
1030,1,3,2,13064_id
1031,1,3,2,14256_id
1032,1,4,1,1_id
1033,1,4,1,1905_id
1034,1,4,1,7483_id
1035,1,4,1,3457_id
1036,1,4,1,6597_id
1037,1,4,1,9527_id
1038,1,4,1,5697_id
1039,1,4,2,9862_id
1040,1,4,2,9977_id
1041,1,4,1,7816_id
1042,1,2,2,17084_id
1043,1,4,1,1839_id
1044,1,3,2,14570_id
1045,1,3,2,12973_id
1046,1,4,1,11053_id
1047,1,4,1,3400_id
1048,1,4,1,1082_id
1049,1,4,1,1741_id
1050,1,3,2,12657_id
1051,1,4,1,3488_id
1052,1,4,1,2834_id
1053,1,4,1,685_id
1054,1,4,1,921_id
1055,1,4,1,5598_id
1056,1,4,1,214_id
1057,1,2,2,17238_id
1058,1,4,1,7237_id
1059,1,4,1,8363_id
1060,1,4,1,6406_id
1061,2,2,3,18896_id
1062,1,3,2,15926_id
1063,1,4,1,1788_id
1064,1,4,1,11541_id
1065,1,4,1,6445_id
1066,1,4,1,9603_id
1067,1,4,1,6441_id
1068,1,4,1,454_id
1069,1,4,1,6568_id
1070,1,4,1,11953_id
1071,1,4,1,7422_id
